130,102,126,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,126,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,125,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,126,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,126,2022-09-21 1:13:48 PM +00:00,,,,,
129,101,125,2022-09-21 1:13:48 PM +00:00,,,,,
130,101,124,2022-09-21 1:13:48 PM +00:00,,,,,
130,102,124,2022-09-21 1:13:48 PM +00:00,,,,,
129,103,125,2022-09-21 1:13:48 PM +00:00,,,,,
128,102,126,2022-09-21 1:13:49 PM +00:00,,,,,
129,102,125,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,125,2022-09-21 1:13:49 PM +00:00,,,,,
129,100,127,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
130,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,125,2022-09-21 1:13:49 PM +00:00,,,,,
128,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,125,2022-09-21 1:13:49 PM +00:00,,,,,
128,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
129,102,125,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
129,101,124,2022-09-21 1:13:49 PM +00:00,,,,,
136,92,118,2022-09-21 1:13:49 PM +00:00,,,,,
244,48,100,2022-09-21 1:13:49 PM +00:00,,,,,
220,118,155,2022-09-21 1:13:49 PM +00:00,,,,,
86,171,120,2022-09-21 1:13:49 PM +00:00,,,,,
11,190,174,2022-09-21 1:13:49 PM +00:00,,,,,
135,65,94,2022-09-21 1:13:49 PM +00:00,,,,,
190,98,103,2022-09-21 1:13:49 PM +00:00,,,,,
79,132,166,2022-09-21 1:13:49 PM +00:00,,,,,
124,85,109,2022-09-21 1:13:49 PM +00:00,,,,,
160,104,124,2022-09-21 1:13:49 PM +00:00,,,,,
104,113,132,2022-09-21 1:13:49 PM +00:00,,,,,
141,96,120,2022-09-21 1:13:49 PM +00:00,,,,,
137,103,127,2022-09-21 1:13:50 PM +00:00,,,,,
124,106,129,2022-09-21 1:13:50 PM +00:00,,,,,
132,103,123,2022-09-21 1:13:50 PM +00:00,,,,,
134,103,125,2022-09-21 1:13:50 PM +00:00,,,,,
127,107,125,2022-09-21 1:13:50 PM +00:00,,,,,
131,103,125,2022-09-21 1:13:50 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:50 PM +00:00,,,,,
129,106,127,2022-09-21 1:13:50 PM +00:00,,,,,
133,104,124,2022-09-21 1:13:50 PM +00:00,,,,,
133,104,126,2022-09-21 1:13:50 PM +00:00,,,,,
130,104,125,2022-09-21 1:13:50 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:50 PM +00:00,,,,,
132,104,124,2022-09-21 1:13:50 PM +00:00,,,,,
131,104,126,2022-09-21 1:13:50 PM +00:00,,,,,
131,104,125,2022-09-21 1:13:50 PM +00:00,,,,,
132,105,124,2022-09-21 1:13:50 PM +00:00,,,,,
132,104,125,2022-09-21 1:13:50 PM +00:00,,,,,
131,104,126,2022-09-21 1:13:50 PM +00:00,,,,,
132,104,126,2022-09-21 1:13:50 PM +00:00,,,,,
132,105,124,2022-09-21 1:13:50 PM +00:00,,,,,
131,104,125,2022-09-21 1:13:50 PM +00:00,,,,,
132,104,125,2022-09-21 1:13:50 PM +00:00,,,,,
133,105,125,2022-09-21 1:13:50 PM +00:00,,,,,
132,105,126,2022-09-21 1:13:50 PM +00:00,,,,,
131,105,126,2022-09-21 1:13:50 PM +00:00,,,,,
132,104,125,2022-09-21 1:13:50 PM +00:00,,,,,
132,104,125,2022-09-21 1:13:51 PM +00:00,,,,,
132,105,125,2022-09-21 1:13:51 PM +00:00,,,,,
132,105,125,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,126,2022-09-21 1:13:51 PM +00:00,,,,,
130,106,126,2022-09-21 1:13:51 PM +00:00,,,,,
132,104,125,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,124,2022-09-21 1:13:51 PM +00:00,,,,,
131,104,125,2022-09-21 1:13:51 PM +00:00,,,,,
130,104,126,2022-09-21 1:13:51 PM +00:00,,,,,
131,104,126,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:51 PM +00:00,,,,,
131,104,125,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,125,2022-09-21 1:13:51 PM +00:00,,,,,
130,105,125,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,126,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,126,2022-09-21 1:13:51 PM +00:00,,,,,
131,105,126,2022-09-21 1:13:51 PM +00:00,,,,,
131,104,125,2022-09-21 1:13:51 PM +00:00,,,,,
131,104,125,2022-09-21 1:13:51 PM +00:00,,,,,
130,103,124,2022-09-21 1:13:51 PM +00:00,,,,,
126,99,122,2022-09-21 1:13:51 PM +00:00,,,,,
100,92,125,2022-09-21 1:13:51 PM +00:00,,,,,
30,104,151,2022-09-21 1:13:51 PM +00:00,,,,,
60,141,125,2022-09-21 1:13:51 PM +00:00,,,,,
232,115,114,2022-09-21 1:13:52 PM +00:00,,,,,
234,97,123,2022-09-21 1:13:52 PM +00:00,,,,,
127,127,145,2022-09-21 1:13:52 PM +00:00,,,,,
129,110,124,2022-09-21 1:13:52 PM +00:00,,,,,
151,101,130,2022-09-21 1:13:52 PM +00:00,,,,,
128,107,127,2022-09-21 1:13:52 PM +00:00,,,,,
134,103,127,2022-09-21 1:13:52 PM +00:00,,,,,
132,104,126,2022-09-21 1:13:52 PM +00:00,,,,,
133,100,128,2022-09-21 1:13:52 PM +00:00,,,,,
131,104,126,2022-09-21 1:13:52 PM +00:00,,,,,
133,104,127,2022-09-21 1:13:52 PM +00:00,,,,,
131,106,128,2022-09-21 1:13:52 PM +00:00,,,,,
134,105,128,2022-09-21 1:13:52 PM +00:00,,,,,
130,106,130,2022-09-21 1:13:52 PM +00:00,,,,,
131,106,128,2022-09-21 1:13:52 PM +00:00,,,,,
133,103,128,2022-09-21 1:13:52 PM +00:00,,,,,
131,106,128,2022-09-21 1:13:52 PM +00:00,,,,,
131,106,126,2022-09-21 1:13:52 PM +00:00,,,,,
131,106,128,2022-09-21 1:13:52 PM +00:00,,,,,
131,105,127,2022-09-21 1:13:52 PM +00:00,,,,,
132,104,128,2022-09-21 1:13:52 PM +00:00,,,,,
132,105,127,2022-09-21 1:13:52 PM +00:00,,,,,
131,105,127,2022-09-21 1:13:52 PM +00:00,,,,,
131,106,127,2022-09-21 1:13:52 PM +00:00,,,,,
132,104,128,2022-09-21 1:13:53 PM +00:00,,,,,
131,104,127,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,127,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,127,2022-09-21 1:13:53 PM +00:00,,,,,
131,106,127,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
130,106,129,2022-09-21 1:13:53 PM +00:00,,,,,
132,106,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
131,105,127,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
131,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,106,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,106,127,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,127,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,129,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,127,2022-09-21 1:13:53 PM +00:00,,,,,
133,104,128,2022-09-21 1:13:53 PM +00:00,,,,,
